urun_adi,urun_fiyati,urun_puani
Apple iPhone 17,70799.0,86.0
Apple iPhone 15,47399.0,73.0
Samsung Galaxy S25 FE,32568.65,79.0
Xiaomi 15T Pro,40135.0,93.0
Apple iPhone 17 Pro,95999.0,94.0
Apple iPhone 17 Pro Max,106999.0,95.0
Apple iPhone 13,37799.03,68.0
Poco X7 Pro,21905.0,80.0
Samsung Galaxy A56 5G,22599.0,68.0
Samsung Galaxy S24,32074.02,79.0
Redmi Note 14 Pro,12959.0,63.0
Apple iPhone 16,58849.0,79.0
Vivo Y29,12349.05,53.0
Honor 400 Pro,34999.0,87.0
Xiaomi 15T Pro,43754.0,92.0
Samsung Galaxy A36 5G,17343.99,66.0
Samsung Galaxy S21 FE 5G,18059.0,69.0
Apple iPhone 16e,39999.0,77.0
Samsung Galaxy S25,46999.0,87.0
Apple iPhone 11,24960.0,53.0
Samsung Galaxy S24+,40499.0,84.0
Samsung Galaxy S24 Ultra,66480.0,88.0
Samsung Galaxy S25 Edge,49499.01,87.0
Samsung Galaxy S25 Ultra,78239.04,93.0
Samsung Galaxy S20 FE,16320.0,66.0
Poco X7 Pro,21389.93,78.0
Samsung Galaxy A26 5G,14299.0,63.0
Samsung Galaxy S21 FE 5G (Snapdragon) (2. Nesil),16399.0,69.0
Redmi Note 13 Pro,14396.3,62.0
Honor 400 Pro,34999.0,87.0
Redmi Note 12 Pro 5G,12221.03,63.0
Redmi Note 13 Pro+ 5G,21883.2,72.0
Apple iPhone 14,44999.0,69.0
Xiaomi 15T Pro,43754.0,92.0
Samsung Galaxy A36 5G,17343.99,66.0
Apple iPhone 15 Pro Max,114999.0,88.0
Samsung Galaxy S21 FE 5G,18059.0,69.0
Apple iPhone 16e,39999.0,77.0
Samsung Galaxy S25,46999.0,87.0
Xiaomi 14T Pro,37149.06,88.0
Apple iPhone 16 Plus,74880.0,83.0
Apple iPhone 11,24960.0,53.0
Redmi 13,9599.0,51.0
Xiaomi 14T,28910.76,80.0
Apple iPhone 16 Pro,82999.0,91.0
Samsung Galaxy A55 5G,20640.0,66.0
Redmi Note 13 Pro 5G,21812.5,70.0
Xiaomi 14T Pro,39883.75,87.0
Xiaomi 13T Pro,30469.52,80.0
Tecno Camon 30,10499.0,59.0
realme 12 Lite,8799.0,52.0
Samsung Galaxy S25 Edge,49499.01,87.0
Samsung Galaxy S24 Ultra,72000.0,89.0
Poco F6,21769.46,75.0
Samsung Galaxy S20 FE,16320.0,66.0
Poco X7 Pro,21389.93,78.0
Samsung Galaxy A26 5G,14299.0,63.0
realme GT7 Pro,52999.0,90.0
Samsung Galaxy A16 5G,12799.0,55.0
Apple iPhone 13 Pro,79999.0,73.0
Samsung Galaxy S25 Ultra,78719.04,94.0
Samsung Galaxy S22,39899.0,72.0
Samsung Galaxy S23,34999.0,76.0
Redmi Note 12 Pro,13424.2,60.0
Tecno Spark Slim 5G,14616.5,60.0
Xiaomi 15T,30145.0,85.0
Poco X3 Pro,9946.33,56.0
General Mobile GM 24 Pro,9786.03,55.0
Samsung Galaxy S23 Ultra,59424.0,83.0
Xiaomi 15,54389.0,96.0
Tecno Camon 30S,10449.05,57.0
Redmi Note 13 Pro 5G,18199.0,69.0
Xiaomi 14 Ultra,69197.58,93.0
Xiaomi 15T,33699.0,83.0
Samsung Galaxy A26 5G,12399.95,60.0
Redmi Note 12 Pro+ 5G,14996.04,64.0
Poco X6 Pro,22499.0,74.0
Apple iPhone 14 Pro Max,102000.0,83.0
realme C75,8775.0,51.0
CMF Phone 1,14801.55,57.0
Xiaomi 13T,24490.56,75.0
OnePlus Nord 3,24449.0,73.0
Samsung Galaxy S24 Ultra,72000.0,89.0
Poco F6,21769.46,75.0
Samsung Galaxy S20 FE,16320.0,66.0
Redmi 15C 5G,12299.0,54.0
Samsung Galaxy S25 Edge,53974.0,88.0
realme GT7 Pro,52999.0,90.0
Samsung Galaxy A16 5G,12799.0,55.0
Apple iPhone 13 Pro,79999.0,73.0
Samsung Galaxy S22,39899.0,72.0
Samsung Galaxy S23,34999.0,76.0
Redmi Note 12 Pro,13424.2,60.0
Tecno Spark Slim 5G,14616.5,60.0
Samsung Galaxy Z Flip7,61424.03,81.0
Poco F7,41272.46,83.0
Xiaomi 15T,30145.0,85.0
Poco X3 Pro,9946.33,56.0
Redmi Note 14 Pro 5G,29999.0,71.0
General Mobile GM 24 Pro,9786.03,55.0
Samsung Galaxy S23 Ultra,59424.0,83.0
Tecno Camon 30S,10449.05,57.0
Redmi Note 13 Pro 5G,18199.0,69.0
Xiaomi 14 Ultra,69197.58,93.0
Xiaomi 15T,33699.0,83.0
Redmi Note 12 Pro+ 5G,14996.04,64.0
Samsung Galaxy S20 FE,16320.0,66.0
Redmi 15C 5G,12299.0,54.0
Samsung Galaxy S25 Edge,53974.0,88.0
realme GT7 Pro,52999.0,90.0
Samsung Galaxy A16 5G,12799.0,55.0
Apple iPhone 13 Pro,79999.0,73.0
Samsung Galaxy S22,39899.0,72.0
Samsung Galaxy S23,34999.0,76.0
Redmi Note 12 Pro,13424.2,60.0
Xiaomi 15T Pro,47500.0,95.0
Samsung Galaxy Z Flip7,61424.03,81.0
Poco F7,41272.46,83.0
Apple iPhone 17 Pro Max,159049.0,99.0
Poco X3 Pro,9946.33,56.0
Redmi Note 14 Pro 5G,29999.0,71.0
General Mobile GM 24 Pro,9786.03,55.0
Samsung Galaxy S23 Ultra,59424.0,83.0
Redmi 15C,8999.0,48.0
Tecno Camon 30S,10449.05,57.0
Redmi Note 13 Pro 5G,18199.0,69.0
Xiaomi 14 Ultra,69197.58,93.0
Redmi Note 12 Pro+ 5G,14996.04,64.0
Poco X6 Pro,22499.0,74.0
Apple iPhone 14 Pro Max,102000.0,83.0
realme C75,8775.0,51.0
CMF Phone 1,14801.55,57.0
Xiaomi 13T,24490.56,75.0
OnePlus Nord 3,24449.0,73.0
Apple iPhone 12,31669.44,62.0
Samsung Galaxy Z Flip6,40799.04,79.0
Samsung Galaxy S23,35383.48,77.0
Nothing Phone (3a),25999.0,68.0
Vivo Y04,6799.0,43.0
Redmi Note 11 Pro,11588.99,56.0
Redmi Note 13,11733.12,57.0
Samsung Galaxy A73 5G,33600.0,64.0
Apple iPhone SE 3 (2022),26885.0,52.0
Poco X6 Pro,21999.0,71.0
Redmi Note 12S,9200.26,55.0
Samsung Galaxy A34 5G,19772.03,63.0
Apple iPhone 17 Pro Max,139999.0,98.0
Apple iPhone 15 Plus,68160.0,76.0
Honor Magic7 Lite,21888.75,66.0
Redmi Note 13 Pro+ 5G,20374.0,71.0
Xiaomi 13,30800.0,80.0
Samsung Galaxy S23 FE,28319.04,73.0
Apple iPhone 16,76799.04,81.0
Tecno Camon 20 Pro,9787.8,57.0
Samsung Galaxy Z Flip7 FE,41760.0,74.0
Redmi 14C,8390.0,45.0
Samsung Galaxy S23 FE,29760.0,71.0
realme 12 Pro,16091.0,65.0
Xiaomi 14T Pro,41707.75,89.0
