fiyat_tl,puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_ön_kamera_çözünürlüğü,temel_donanim_yonga_seti_chipset,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,temel_donanim_cpu_üretim_teknolojisi,tasarim_kalınlık,tasarim_ağırlık,özelli̇kler_suya_dayanıklılık,temel_bi̇lgi̇ler_çıkış_yılı
70799.0,86.0,6.3 İnç,OLED,1206x2622 (FHD+) Piksel,120 Hz,3692 mAh,40 W,Var,48 MP,Var,18 MP,Apple A19,8 GB,256 GB,3 nm,7.95 mm,177 Gram,Var,2025
47399.0,73.0,6.1 İnç,OLED,1179x2556 (FHD+) Piksel,60 Hz,3349 mAh,20 W,Var,48 MP,Var,12 MP,Apple A16 Bionic,6 GB,128 GB,4 nm,7.8 mm,171 Gram,Var,2023
32568.65,79.0,6.7 İnç,Dynamic AMOLED,1080x2340 (FHD+) Piksel,120 Hz,4900 mAh,45 W,Var,50 MP,Var,12 MP,Samsung Exynos 2400,8 GB,256 GB,4 nm,7.4 mm,190 Gram,Var,2025
40135.0,93.0,6.83 İnç,AMOLED,1280x2772 (FHD+) Piksel,144 Hz,5500 mAh,90 W,Var,50 MP,Var,32 MP,MediaTek Dimensity 9400+,12 GB,512 GB,3 nm,7.96 mm,210 Gram,Var,2025
95999.0,94.0,6.3 İnç,OLED,1206x2622 (FHD+) Piksel,120 Hz,3988 mAh,40 W,Var,48 MP,Var,18 MP,Apple A19 Pro,12 GB,256 GB,3 nm,8.75 mm,204 Gram,Var,2025
106999.0,95.0,6.9 İnç,OLED,1320x2868 (FHD+) Piksel,120 Hz,4832 mAh,40 W,Var,48 MP,Var,18 MP,Apple A19 Pro,12 GB,256 GB,3 nm,8.75 mm,231 Gram,Var,2025
37799.03,68.0,6.1 İnç,OLED,1170x2532 (FHD+) Piksel,60 Hz,3227 mAh,20 W,Var,12 MP,Var,12 MP,Apple A15 Bionic,4 GB,128 GB,5 nm,7.65 mm,174 Gram,Var,2021
21905.0,80.0,6.67 İnç,AMOLED,1220x2712 (FHD+) Piksel,120 Hz,6000 mAh,90 W,Yok,50 MP,Var,20 MP,MediaTek Dimensity 8400,12 GB,512 GB,4 nm,8.29 mm,195 Gram,Var,2025
22599.0,68.0,6.7 İnç,Super AMOLED,1080x2340 (FHD+) Piksel,120 Hz,5000 mAh,45 W,Yok,50 MP,Var,12 MP,Samsung Exynos 1580,8 GB,256 GB,4 nm,7.4 mm,198 Gram,Var,2025
32074.02,79.0,6.2 İnç,Dynamic AMOLED,1080x2340 (FHD+) Piksel,120 Hz,4000 mAh,25 W,Var,50 MP,Var,12 MP,Samsung Exynos 2400,8 GB,256 GB,4 nm,7.6 mm,167 Gram,Var,2024
12959.0,63.0,6.67 İnç,AMOLED,1080x2400 (FHD+) Piksel,120 Hz,5500 mAh,45 W,Yok,200 MP,Var,32 MP,MediaTek Helio G100,8 GB,256 GB,6 nm,8.24 mm,180 Gram,Var,2025
58849.0,79.0,6.1 İnç,OLED,1179x2556 (FHD+) Piksel,60 Hz,3561 mAh,25 W,Var,48 MP,Var,12 MP,Apple A18,8 GB,128 GB,3 nm,7.8 mm,170 Gram,Var,2024
12349.05,53.0,6.68 İnç,IPS LCD,720x1608 (HD+) Piksel,120 Hz,6500 mAh,44 W,Yok,50 MP,Yok,8 MP,Qualcomm Snapdragon 685 (SM6225-AD),8 GB,256 GB,6 nm,8.09 mm,208 Gram,Var,2025
34999.0,87.0,6.7 İnç,AMOLED,1280x2800 (FHD+) Piksel,120 Hz,6000 mAh,100 W,Var,200 MP,Var,50 MP,Qualcomm Snapdragon 8 Gen 3 (SM8650-AB/AC),12 GB,512 GB,4 nm,8.1 mm,205 Gram,Var,2025
43754.0,92.0,6.83 İnç,AMOLED,1280x2772 (FHD+) Piksel,144 Hz,5500 mAh,90 W,Var,50 MP,Var,32 MP,MediaTek Dimensity 9400+,12 GB,256 GB,3 nm,7.96 mm,210 Gram,Var,2025
17343.99,66.0,6.7 İnç,Super AMOLED,1080x2340 (FHD+) Piksel,120 Hz,5000 mAh,45 W,Yok,50 MP,Var,12 MP,Qualcomm Snapdragon 6 Gen 3 (SM6475-AB),8 GB,256 GB,4 nm,7.4 mm,195 Gram,Var,2025
18059.0,69.0,6.4 İnç,Dynamic AMOLED,1080x2340 (FHD+) Piksel,120 Hz,4500 mAh,25 W,Var,12 MP,Var,32 MP,Samsung Exynos 2100,8 GB,128 GB,5 nm,7.9 mm,177 Gram,Var,2022
39999.0,77.0,6.1 İnç,OLED,1170x2532 (FHD+) Piksel,60 Hz,4005 mAh,20 W,Var,48 MP,Var,12 MP,Apple A18,8 GB,128 GB,3 nm,7.8 mm,167 Gram,Var,2025
46999.0,87.0,6.2 İnç,Dynamic AMOLED,1080x2340 (FHD+) Piksel,120 Hz,4000 mAh,25 W,Var,50 MP,Var,12 MP,Qualcomm Snapdragon 8 Elite,12 GB,256 GB,3 nm,7.2 mm,162 Gram,Var,2025
24960.0,53.0,6.1 İnç,IPS LCD,828x1792 (HD+) Piksel,60 Hz,3110 mAh,20 W,Var,12 MP,Var,12 MP,Apple A13 Bionic,4 GB,64 GB,7 nm,8.3 mm,194 Gram,Var,2019
